bucket,every_n,n_sym,fund_pnl,price_pnl,gross,turnover,net_real,net_pess,rebalanced
1711036800000,1,32,8.002600000000001e-05,-0.006119254287098941,-0.006039228287098941,0.7999999999999999,-0.007335228287098941,-0.008199228287098941,1
1711065600000,1,32,0.000128859,-0.0007948129838450842,-0.0006659539838450841,0.7999999999999999,-0.001961953983845084,-0.0028259539838450844,1
1711094400000,1,32,0.000124849,0.00478797258804008,0.00491282158804008,0.9999999999999999,0.0032928215880400798,0.00221282158804008,1
1711123200000,1,32,8.1009e-05,-0.014863051697632943,-0.014782042697632943,0.7999999999999999,-0.01607804269763294,-0.016942042697632942,1
1711152000000,1,32,3.1466e-05,0.014643300547948046,0.014674766547948047,1.8000000000000005,0.011758766547948047,0.009814766547948045,1
1711180800000,1,32,-1.0069999999999854e-06,-0.0065343682274161975,-0.006535375227416197,1.4000000000000001,-0.008803375227416197,-0.010315375227416199,1
1711209600000,1,32,4.062100000000001e-05,0.0001431304379816518,0.00018375143798165182,1.0,-0.001436248562018348,-0.002516248562018348,1
1711238400000,1,32,4.8465000000000004e-05,-0.008285272374596187,-0.008236807374596188,1.2000000000000002,-0.010180807374596187,-0.01147680737459619,1
1711267200000,1,32,2.1422e-05,-0.012872766527321057,-0.012851344527321057,1.4000000000000001,-0.015119344527321058,-0.016631344527321058,1
1711296000000,1,32,3.8789000000000004e-05,0.008269856449335667,0.008308645449335666,1.4000000000000001,0.006040645449335666,0.0045286454493356654,1
1711324800000,1,32,0.00010650199999999999,-0.013931531673423158,-0.013825029673423158,0.9999999999999999,-0.015445029673423158,-0.016525029673423158,1
1711353600000,1,32,0.00013020300000000001,-0.008583412648296217,-0.008453209648296217,0.9999999999999999,-0.010073209648296217,-0.011153209648296216,1
1711382400000,1,32,4.3637e-05,0.023502554918084107,0.023546191918084106,0.9999999999999999,0.021926191918084106,0.020846191918084105,1
1711411200000,1,32,0.000184821,0.0035177461019652917,0.0037025671019652916,0.6,0.002730567101965292,0.0020825671019652917,1
1711440000000,1,32,8.1694e-05,0.015938823044561228,0.016020517044561228,1.2,0.014076517044561228,0.012780517044561228,1
1711468800000,1,32,0.00025978100000000005,-0.0026934708687279107,-0.0024336898687279105,0.9999999999999999,-0.00405368986872791,-0.00513368986872791,1
1711497600000,1,32,0.00015047499999999998,-0.008735939367568737,-0.008585464367568737,0.7999999999999999,-0.009881464367568737,-0.010745464367568737,1
1711526400000,1,32,9.211200000000002e-05,-0.00018190092195204512,-8.97889219520451e-05,0.9999999999999999,-0.0017097889219520447,-0.0027897889219520447,1
1711555200000,1,32,0.000126059,-0.029146228883672423,-0.029020169883672422,0.9999999999999999,-0.030640169883672422,-0.03172016988367242,1
1711584000000,1,32,9.254300000000003e-05,-0.011404741637501227,-0.011312198637501226,0.9999999999999999,-0.012932198637501226,-0.014012198637501225,1
1711612800000,1,32,4.412199999999999e-05,0.0032908563666817475,0.0033349783666817476,1.2,0.0013909783666817479,9.497836668174737e-05,1
1711641600000,1,32,0.00011330899999999998,0.007833087094153444,0.007946396094153445,0.9999999999999999,0.006326396094153445,0.005246396094153446,1
1711670400000,1,32,0.000125673,-0.003438440504079943,-0.0033127675040799426,1.6000000000000003,-0.005904767504079943,-0.007632767504079943,1
1711699200000,1,32,5.5357999999999994e-05,0.007303090355631559,0.007358448355631559,1.2000000000000002,0.005414448355631559,0.004118448355631558,1
1711728000000,1,32,0.000198641,0.002906508402155061,0.0031051494021550607,0.7999999999999999,0.001809149402155061,0.0009451494021550607,1
1711756800000,1,32,0.00021057600000000002,0.006380005175889136,0.006590581175889136,0.6,0.005618581175889136,0.004970581175889136,1
1711785600000,1,32,0.000147494,0.015307047815959714,0.015454541815959713,0.7999999999999999,0.014158541815959713,0.013294541815959713,1
1711814400000,1,32,0.000283323,0.010176456661192988,0.010459779661192988,0.6,0.009487779661192988,0.008839779661192988,1
1711843200000,1,32,0.00023646400000000003,-0.0005307723538765302,-0.00029430835387653015,0.7999999999999999,-0.00159030835387653,-0.00245430835387653,1
1711872000000,1,32,0.000230144,-0.0048884524870301035,-0.004658308487030104,1.2,-0.006602308487030103,-0.007898308487030103,1
1711900800000,1,32,1.5710000000001108e-06,0.013407502176494002,0.013409073176494002,1.2,0.011465073176494003,0.010169073176494002,1
1711929600000,1,32,0.00014750299999999995,0.0023210827499061115,0.0024685857499061113,1.4000000000000001,0.00020058574990611125,-0.001311414250093889,1
1711958400000,1,32,0.000166758,-0.0008897185708497497,-0.0007229605708497497,1.2,-0.0026669605708497493,-0.00396296057084975,1
1711987200000,1,32,0.000103352,0.006006475090697829,0.006109827090697829,0.9999999999999999,0.0044898270906978295,0.0034098270906978297,1
1712016000000,1,32,9.0241e-05,0.00422238344422957,0.00431262444422957,1.2,0.0023686244442295704,0.0010726244442295697,1
1712044800000,1,32,4.7866999999999994e-05,-0.003173245781168562,-0.003125378781168562,1.6000000000000003,-0.0057173787811685625,-0.007445378781168563,1
1712073600000,1,33,8.8708e-05,-0.012318758171334265,-0.012230050171334265,0.9999999999999999,-0.013850050171334265,-0.014930050171334265,1
1712102400000,1,33,6.1715e-05,0.007305541951212979,0.007367256951212979,1.0,0.005747256951212979,0.004667256951212979,1
1712131200000,1,33,9.0126e-05,0.02349357988557643,0.023583705885576428,1.0,0.021963705885576428,0.020883705885576427,1
1712160000000,1,33,6.1238e-05,0.02420285748466456,0.02426409548466456,0.7999999999999999,0.022968095484664563,0.022104095484664563,1
1712188800000,1,33,4.6969e-05,-0.003308585072151337,-0.003261616072151337,0.7999999999999999,-0.004557616072151337,-0.005421616072151338,1
1712217600000,1,33,-6.1238e-05,0.015991493704645865,0.015930255704645863,1.2,0.013986255704645864,0.012690255704645863,1
1712246400000,1,33,4.4017e-05,0.01308399000848606,0.01312800700848606,1.0,0.01150800700848606,0.010428007008486059,1
1712275200000,1,33,6.555200000000001e-05,0.0020457565742313505,0.0021113085742313505,0.7999999999999999,0.0008153085742313507,-4.8691425768649516e-05,1
1712304000000,1,33,1.9879e-05,-0.010812382813381668,-0.010792503813381668,0.9999999999999999,-0.012412503813381668,-0.013492503813381667,1
1712332800000,1,33,0.00010907200000000002,0.007158314818166879,0.007267386818166879,0.4,0.0066193868181668785,0.0061873868181668784,1
1712361600000,1,33,6.9078e-05,0.0027802022938310574,0.0028492802938310576,0.7999999999999999,0.0015532802938310578,0.0006892802938310576,1
1712390400000,1,33,0.00010514700000000001,0.02444941572988635,0.02455456272988635,0.6,0.02358256272988635,0.02293456272988635,1
1712419200000,1,33,5.6643e-05,0.0024583491726591134,0.0025149921726591133,1.0,0.0008949921726591134,-0.00018500782734088683,1
1712448000000,1,33,2.6898e-05,-0.005434901483695587,-0.005408003483695587,0.8,-0.006704003483695587,-0.007568003483695587,1
1712476800000,1,33,7.599100000000001e-05,0.0061426597231610675,0.0062186507231610675,0.6,0.005246650723161068,0.004598650723161068,1
1712505600000,1,33,7.782500000000001e-05,0.005386107947735387,0.005463932947735387,0.6,0.004491932947735387,0.003843932947735387,1
1712534400000,1,33,7.5793e-05,-0.010590170489489894,-0.010514377489489895,0.7999999999999999,-0.011810377489489895,-0.012674377489489895,1
1712563200000,1,33,4.8628e-05,0.00505353325741469,0.00510216125741469,0.8,0.00380616125741469,0.0029421612574146903,1
1712592000000,1,33,6.898399999999999e-05,0.014558985903399397,0.014627969903399396,1.2,0.012683969903399397,0.011387969903399396,1
1712620800000,1,33,0.000107687,0.0027887529574500917,0.0028964399574500917,0.7999999999999999,0.0016004399574500918,0.0007364399574500916,1
1712649600000,1,33,9.189300000000001e-05,0.007678090664050628,0.007769983664050628,0.7999999999999999,0.006473983664050628,0.005609983664050628,1
