symbol,cg_n,cg_min,cg_max,bn_raw_n,bn_raw_min,bn_raw_max,bn_hist_n,bn_hist_min,bn_hist_max,fund_n,fund_min,fund_max,cg_to_raw_gap_days,hist_covers_cg_end
ONDOUSDT,21398,2024-01-20,2026-07-07,22437,2024-01-20,2026-08-12,22437,2024-01-20,2026-08-12,5608,2024-01-20,2026-08-12,-898.58,True
OPUSDT,35749,2022-06-01,2026-07-07,36788,2022-06-01,2026-08-12,36788,2022-06-01,2026-08-12,4600,2022-06-01,2026-08-12,-1496.54,True
ORDIUSDT,23175,2023-11-07,2026-07-07,24214,2023-11-07,2026-08-12,24214,2023-11-07,2026-08-12,6052,2023-11-07,2026-08-12,-972.62,True
PAXGUSDT,11033,2025-03-27,2026-07-07,12072,2025-03-27,2026-08-12,12072,2025-03-27,2026-08-12,3018,2025-03-27,2026-08-12,-466.71,True
PENDLEUSDT,25633,2023-07-28,2026-07-07,26672,2023-07-28,2026-08-12,26672,2023-07-28,2026-08-12,3342,2023-07-25,2026-08-12,-1075.04,True
PENGUUSDT,13427,2024-12-17,2026-07-07,14466,2024-12-17,2026-08-12,14466,2024-12-17,2026-08-12,3616,2024-12-17,2026-08-12,-566.46,True
POLUSDT,15711,2024-09-13,2026-07-07,16750,2024-09-13,2026-08-12,16750,2024-09-13,2026-08-12,4186,2024-09-13,2026-08-12,-661.62,True
PUMPUSDT,8516,2025-07-10,2026-07-07,9555,2025-07-10,2026-08-12,9555,2025-07-10,2026-08-12,2795,2025-04-12,2026-08-12,-361.83,True
RAVEUSDT,4572,2025-12-14,2026-06-23,5779,2025-12-14,2026-08-12,5779,2025-12-14,2026-08-12,1654,2025-12-14,2026-08-12,-190.46,True
RENDERUSDT,16889,2024-07-26,2026-07-07,17928,2024-07-26,2026-08-12,17928,2024-07-26,2026-08-12,4481,2024-07-26,2026-08-12,-710.71,True
RIVERUSDT,5965,2025-10-17,2026-06-23,7172,2025-10-17,2026-08-12,7172,2025-10-17,2026-08-12,2825,2025-10-17,2026-08-12,-248.5,True
SAHARAUSDT,8847,2025-06-26,2026-07-07,0,-,-,0,-,-,0,-,-,,False
SEIUSDT,25153,2023-08-17,2026-07-07,0,-,-,0,-,-,0,-,-,,False
SKYAIUSDT,9738,2025-05-13,2026-06-23,10945,2025-05-13,2026-08-12,10945,2025-05-13,2026-08-12,2735,2025-05-13,2026-08-12,-405.71,True
SNDKUSDT,1838,2026-04-07,2026-06-23,3045,2026-04-07,2026-08-12,3045,2026-04-07,2026-08-12,382,2026-04-07,2026-08-12,-76.54,True
SOLUSDT,39395,2021-12-31,2026-07-07,51795,2020-09-14,2026-08-12,51795,2020-09-14,2026-08-12,5129,2022-01-01,2026-08-12,-2121.83,True
SPCXUSDT,791,2026-05-21,2026-06-23,1998,2026-05-21,2026-08-12,1998,2026-05-21,2026-08-12,249,2026-05-21,2026-08-12,-32.92,True
SUIUSDT,27683,2023-05-03,2026-07-07,28722,2023-05-03,2026-08-12,28722,2023-05-03,2026-08-12,3591,2023-05-03,2026-08-12,-1160.46,True
TAOUSDT,19429,2024-04-11,2026-07-07,0,-,-,0,-,-,0,-,-,,False
TIAUSDT,23337,2023-10-31,2026-07-07,24376,2023-10-31,2026-08-12,24376,2023-10-31,2026-08-12,6093,2023-10-31,2026-08-12,-979.38,True
TONUSDT,20415,2024-03-01,2026-06-30,0,-,-,0,-,-,0,-,-,,False
TRUMPUSDT,12662,2025-01-18,2026-07-07,13701,2025-01-18,2026-08-12,13701,2025-01-18,2026-08-12,3424,2025-01-18,2026-08-12,-534.58,True
TRXUSDT,39395,2021-12-31,2026-07-07,57626,2020-01-15,2026-08-12,57626,2020-01-15,2026-08-12,5054,2022-01-01,2026-08-12,-2364.79,True
TSLAUSDT,3493,2026-01-28,2026-06-23,4700,2026-01-28,2026-08-12,4700,2026-01-28,2026-08-12,600,2026-01-27,2026-08-12,-145.5,True
UBUSDT,6809,2025-09-12,2026-06-23,8016,2025-09-12,2026-08-12,8016,2025-09-12,2026-08-12,2003,2025-09-12,2026-08-12,-283.67,True
UNIUSDT,39395,2021-12-31,2026-07-07,51699,2020-09-18,2026-08-12,51699,2020-09-18,2026-08-12,5054,2022-01-01,2026-08-12,-2117.83,True
VIRTUALUSDT,13599,2024-12-10,2026-07-07,14638,2024-12-10,2026-08-12,14638,2024-12-10,2026-08-12,3658,2024-12-10,2026-08-12,-573.62,True
VVVUSDT,12235,2025-01-29,2026-06-23,13442,2025-01-29,2026-08-12,13442,2025-01-29,2026-08-12,3360,2025-01-29,2026-08-12,-509.75,True
WIFUSDT,21445,2024-01-18,2026-07-07,22484,2024-01-18,2026-08-12,22484,2024-01-18,2026-08-12,5620,2024-01-18,2026-08-12,-900.54,True
WLDUSDT,25719,2023-07-24,2026-07-07,26758,2023-07-24,2026-08-12,26758,2023-07-24,2026-08-12,3345,2023-07-24,2026-08-12,-1078.62,True
WLFIUSDT,7459,2025-08-23,2026-07-07,8498,2025-08-23,2026-08-12,8498,2025-08-23,2026-08-12,2123,2025-08-23,2026-08-12,-317.79,True
XAGUSDT,4001,2026-01-07,2026-06-23,5208,2026-01-07,2026-08-12,5208,2026-01-07,2026-08-12,1302,2026-01-07,2026-08-12,-166.67,True
XAUUSDT,4651,2025-12-11,2026-06-23,5858,2025-12-11,2026-08-12,5858,2025-12-11,2026-08-12,1464,2025-12-11,2026-08-12,-193.75,True
XLMUSDT,39395,2021-12-31,2026-07-07,57506,2020-01-20,2026-08-12,57506,2020-01-20,2026-08-12,5054,2022-01-01,2026-08-12,-2359.79,True
XMRUSDT,36694,2021-12-31,2026-06-23,57170,2020-02-03,2026-08-12,57170,2020-02-03,2026-08-12,5054,2022-01-01,2026-08-12,-2331.75,True
XPLUSDT,7482,2025-08-22,2026-07-07,8521,2025-08-22,2026-08-12,8521,2025-08-22,2026-08-12,2129,2025-08-22,2026-08-12,-318.75,True
ZECUSDT,39395,2021-12-31,2026-07-07,0,-,-,0,-,-,0,-,-,,False
ZROUSDT,17749,2024-06-20,2026-07-07,0,-,-,0,-,-,0,-,-,,False
