date,asset,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowInExUSD,FlowInExUSD-status,FlowInExUSD-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,FlowOutExUSD,FlowOutExUSD-status,FlowOutExUSD-status-time,SplyExNtv,SplyExNtv-status,SplyExNtv-status-time,SplyExUSD,SplyExUSD-status,SplyExUSD-status-time,fetched_at
2011-06-05,btc,794.27,flash,2026-04-02T17:02:33.057305000Z,13139.880565077032,flash,2026-04-02T17:02:33.956812000Z,19.53,flash,2026-04-02T17:02:23.171975000Z,323.09147699894805,flash,2026-04-02T17:02:33.910476000Z,774.82,flash,2026-04-02T17:02:22.692775000Z,12818.112555469785,flash,2026-04-02T17:02:33.877988000Z,2026-08-07 05:31:50 UTC
2011-06-06,btc,39.63,flash,2026-04-02T17:02:48.812431000Z,729.2751692644068,flash,2026-04-02T17:02:49.926677000Z,64.8,flash,2026-04-02T17:02:38.089430000Z,1192.4559921355933,flash,2026-04-02T17:02:49.877928000Z,749.65,flash,2026-04-02T17:02:37.512275000Z,13795.133248525426,flash,2026-04-02T17:02:49.811852000Z,2026-08-07 05:31:50 UTC
2011-06-07,btc,309.49,flash,2026-04-02T17:02:56.573832000Z,7191.89100547896,flash,2026-04-02T17:02:57.698521000Z,112.91,flash,2026-04-02T17:02:53.546902000Z,2623.7888572445936,flash,2026-04-02T17:02:57.652899000Z,946.23,flash,2026-04-02T17:02:53.067429000Z,21988.377737937757,flash,2026-04-02T17:02:57.617612000Z,2026-08-07 05:31:50 UTC
2011-06-08,btc,260.16,flash,2026-04-02T17:03:14.582652000Z,7552.4243323567425,flash,2026-04-02T17:03:15.673170000Z,222.47,flash,2026-04-02T17:03:02.197508000Z,6458.286597553062,flash,2026-04-02T17:03:15.633470000Z,983.92,flash,2026-04-02T17:03:01.515114000Z,28563.120191776008,flash,2026-04-02T17:03:15.602076000Z,2026-08-07 05:31:50 UTC
2011-06-09,btc,261.19047799,flash,2026-04-02T17:03:32.801136000Z,7519.815953684401,flash,2026-04-02T17:03:33.766239000Z,131.37,flash,2026-04-02T17:03:21.068252000Z,3782.213767660175,flash,2026-04-02T17:03:33.725974000Z,1113.74047799,flash,2026-04-02T17:03:19.847832000Z,32065.19425633099,flash,2026-04-02T17:03:33.697806000Z,2026-08-07 05:31:50 UTC
2011-06-10,btc,320.99,flash,2026-04-02T17:03:50.302902000Z,7719.616658363053,flash,2026-04-02T17:03:51.332970000Z,117.4,flash,2026-04-02T17:03:39.037913000Z,2823.3994694284006,flash,2026-04-02T17:03:51.284823000Z,1317.33047799,flash,2026-04-02T17:03:37.982035000Z,31681.0065810803,flash,2026-04-02T17:03:51.217448000Z,2026-08-07 05:31:50 UTC
2011-06-11,btc,260.34586077,flash,2026-04-02T17:04:07.715828000Z,3840.035481928768,flash,2026-04-02T17:04:08.734997000Z,127.7916,flash,2026-04-02T17:03:56.457013000Z,1884.8937211487837,flash,2026-04-02T17:04:08.692638000Z,1449.88473876,flash,2026-04-02T17:03:55.400802000Z,21385.4325360835,flash,2026-04-02T17:04:08.664740000Z,2026-08-07 05:31:50 UTC
2011-06-12,btc,335.67905182,flash,2026-04-02T17:04:26.389626000Z,6327.598710022671,flash,2026-04-02T17:04:27.372825000Z,227.46,flash,2026-04-02T17:04:14.168455000Z,4287.653920547697,flash,2026-04-02T17:04:27.338197000Z,1558.10379058,flash,2026-04-02T17:04:12.926133000Z,29370.481958588607,flash,2026-04-02T17:04:27.300272000Z,2026-08-07 05:31:50 UTC
2011-06-13,btc,257.05136586,flash,2026-04-02T17:04:44.820583000Z,5023.382390981467,flash,2026-04-02T17:04:45.830566000Z,191.58262612,flash,2026-04-02T17:04:32.687919000Z,3743.9707322673785,flash,2026-04-02T17:04:45.736498000Z,1623.57253032,flash,2026-04-02T17:04:31.567112000Z,31728.388728860857,flash,2026-04-02T17:04:45.687784000Z,2026-08-07 05:31:50 UTC
2011-06-14,btc,401.6487148,flash,2026-04-02T17:05:04.291371000Z,7734.84471576341,flash,2026-04-02T17:05:05.405744000Z,144.6,flash,2026-04-02T17:04:51.914727000Z,2784.6685541028623,flash,2026-04-02T17:05:05.353973000Z,1880.62124512,flash,2026-04-02T17:04:50.609258000Z,36216.5065246434,flash,2026-04-02T17:05:05.314631000Z,2026-08-07 05:31:50 UTC
