schema_version,run_id,record_id,scan_time_utc,symbol,rank,turnover_24h_usd,history_tier,eligible_for_paper,trigger_reason,trigger_metric,trigger_value,trigger_quantile,large_move_flag_24h,abs_move_pct_24h,excess_move_pct_24h,funding_sign,funding_rate_8h,oi_change_pct_24h,is_top_candidate,decision,direction,direction_sign,testable_hypothesis,falsified,entry_price_ref,exit_price_ref_4h,exit_price_ref_24h,exit_price_ref_72h,exit_price_ref_7d,btc_entry_price,btc_exit_price_4h,btc_exit_price_24h,btc_exit_price_72h,btc_exit_price_7d,dir_excess_ret_4h,dir_excess_ret_24h,dir_excess_ret_72h,dir_excess_ret_7d,friction_bps_roundtrip,funding_cost_component,dir_excess_ret_net_4h,dir_excess_ret_net_24h,dir_excess_ret_net_72h,dir_excess_ret_net_7d,red_team_ref,decision_time_utc,notes
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0001,2026-05-11T12:00:00+00:00,1000BONKUSDT,68,100601949.39,Full,Yes,vol_quantile_high,vol_24h,0.0174185537639459,0.99438202247191,False,3.407529541082721,2.9309388112056745,positive,5e-05,,False,AutoSkipped,Neutral,0.0,,,0.007527,0.007544,0.007188,0.006829,0.005976,81167.1,,,,,0.0,0.0,0.0,0.0,31.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0019,2026-05-11T12:00:00+00:00,XLMUSDT,48,79232079.38,Full,Yes,vol_quantile_high,vol_24h,0.0095670106164426,0.9461610486891384,False,3.0678610872499457,2.591270357372899,positive,3.408e-05,,False,AutoSkipped,Neutral,0.0,,,0.16799,0.17016,0.16402,0.16054,0.1488,81167.1,,,,,0.0,0.0,0.0,0.0,51.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0003,2026-05-11T12:00:00+00:00,ADAUSDT,19,274691460.32,Full,Yes,vol_quantile_high,vol_24h,0.01006043464652,0.926498127340824,False,2.458715596330263,1.9821248664532165,negative,-4.7e-06,,False,AutoSkipped,Neutral,0.0,,,0.2791,0.2813,0.2739,0.2663,0.2513,81167.1,,,,,0.0,0.0,0.0,0.0,31.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0004,2026-05-11T12:00:00+00:00,CRCLUSDT,75,164958717.07,Full,Yes,vol_quantile_high,vol_24h,0.0189599606498264,0.9456928838951312,False,2.046959662853709,1.5703689329766624,positive,0.0010222,,False,AutoSkipped,Neutral,0.0,,,118.63,126.67,134.13,125.54,114.61,81167.1,,,,,0.0,0.0,0.0,0.0,31.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0005,2026-05-11T12:00:00+00:00,DOGEUSDT,10,1037530613.87,Full,Yes,vol_quantile_high,vol_24h,0.0106831357902446,0.922752808988764,False,1.9696689476604408,1.4930782177833946,positive,0.0001,,False,AutoSkipped,Neutral,0.0,,,0.11027,0.11115,0.10914,0.11525,0.10629,81167.1,,,,,0.0,0.0,0.0,0.0,31.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0006,2026-05-11T12:00:00+00:00,ENAUSDT,34,131000217.55,Full,Yes,vol_quantile_high,vol_24h,0.016976170630611,0.9794007490636704,False,1.6687461010605142,1.1921553711834676,positive,5e-05,,False,AutoSkipped,Neutral,0.0,,,0.13038,0.12993,0.12308,0.11734,0.10485,81167.1,,,,,0.0,0.0,0.0,0.0,31.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0002,2026-05-11T12:00:00+00:00,1000PEPEUSDT,33,474080782.52,Full,Yes,vol_quantile_high,vol_24h,0.0122602915902125,0.9185393258426966,False,1.6586786956113375,1.1820879657342909,negative,-9.812e-05,,False,AutoSkipped,Neutral,0.0,,,0.0043271,0.0043417,0.0041988,0.0040449,0.0036712,81167.1,,,,,0.0,0.0,0.0,0.0,31.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0012,2026-05-11T12:00:00+00:00,ONDOUSDT,17,234125738.07,Full,Yes,vol_quantile_high,vol_24h,0.0169214094348177,0.9747191011235956,False,1.5926640926640978,1.1160733627870512,negative,-7.163e-05,,False,AutoSkipped,Neutral,0.0,,,0.421,0.426,0.409,0.3884,0.3477,81167.1,,,,,0.0,0.0,0.0,0.0,31.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0010,2026-05-11T12:00:00+00:00,LTCUSDT,25,121849937.24,Full,Yes,vol_quantile_high,vol_24h,0.0083662378025824,0.9630149812734082,False,0.5654557916381142,0.0888650617610675,positive,0.0001,,False,AutoSkipped,Neutral,0.0,,,58.7,58.86,57.76,57.26,54.0,81167.1,,,,,0.0,0.0,0.0,0.0,31.0,,0.0,0.0,0.0,0.0,,,
v1,20260408_0000_utc_replay,20260408_0000_utc_replay_0008,2026-04-08T00:00:00+00:00,LABUSDT,31,58913000.52,Full,Yes,vol_quantile_high|large_move_abs|large_move_excess,vol_24h,0.0274829297521692,0.944756554307116,True,31.44821542920697,26.98382462390776,positive,0.00064626,,True,Paper Trade,Long,1.0,,,0.38993,0.37168,0.37822,0.51728,0.47148,71890.2,,,,,-0.0380329532010266,-0.0181796244821356,0.3123086249645284,0.1783055794225655,51.0,,-0.0434560832010266,-0.0252184044821356,0.3013922849645284,0.1596341194225655,G:\Quant test\AlphaHive_V3\reports\red_team_decisions_pending_top_20260708.md,2026-07-09T00:32:45.799722+00:00,"red_team_decision=Paper Trade; confidence=High; reason=Triple-trigger at 94.5th quantile, +27% excess, strong volume. LAB is mid-cap with consistent liquidity.; human_check=Verify 24h/72h return persistence; check if move was news-driven; veto_flags=none; virtual_paper_direction=Long; rule=positive_excess_momentum; basis=+26.98pct excess, triple-trigger, high liquidity; no future-return input"
