open_time,open,high,low,close,volume,quote_volume,datetime_utc
1783904400000,64041.8,64044.0,63366.0,63382.1,12315.44,783999328.829,2026-07-13 01:00:00+00:00
1783908000000,63382.1,63527.6,63204.0,63344.8,7882.245,499532315.1623,2026-07-13 02:00:00+00:00
1783911600000,63344.9,63362.4,62705.0,62780.2,15709.528,988765953.6719,2026-07-13 03:00:00+00:00
1783915200000,62780.1,62884.8,62592.1,62649.8,6758.166,423971882.5183,2026-07-13 04:00:00+00:00
1783918800000,62649.7,62880.0,62434.9,62764.1,8371.052,524555305.0905,2026-07-13 05:00:00+00:00
1783922400000,62764.1,62848.2,62675.0,62766.6,2684.94,168535013.107,2026-07-13 06:00:00+00:00
1783926000000,62766.6,63030.0,62719.4,62952.7,6413.166,403514850.3247,2026-07-13 07:00:00+00:00
1783929600000,62952.8,63260.0,62902.5,63174.9,5653.085,356580411.0819,2026-07-13 08:00:00+00:00
1783933200000,63174.9,63179.3,63064.4,63074.0,3292.544,207732683.1648,2026-07-13 09:00:00+00:00
1783936800000,63074.0,63130.9,62834.4,62844.6,9350.106,589112851.478,2026-07-13 10:00:00+00:00
1783940400000,62844.7,63116.1,62844.7,62881.3,4701.727,296170007.1894,2026-07-13 11:00:00+00:00
1783944000000,62881.4,62970.7,62531.0,62597.9,8803.456,552036473.0089,2026-07-13 12:00:00+00:00
1783947600000,62597.9,62752.4,62141.2,62300.1,18486.59,1153858864.0167,2026-07-13 13:00:00+00:00
1783951200000,62300.1,62777.0,62061.3,62770.3,15429.637,963818370.0145,2026-07-13 14:00:00+00:00
1783954800000,62770.2,62965.0,62543.5,62596.6,9348.486,586469053.265,2026-07-13 15:00:00+00:00
1783958400000,62596.7,62614.5,62183.9,62258.0,8644.969,539028982.1495,2026-07-13 16:00:00+00:00
1783962000000,62258.0,62347.2,61877.0,61877.0,8894.99,552117880.6879,2026-07-13 17:00:00+00:00
1783965600000,61877.1,62077.6,61806.0,61997.3,7281.929,451024636.8619,2026-07-13 18:00:00+00:00
1783969200000,61997.4,62267.0,61962.5,62258.0,4034.752,250609787.0967,2026-07-13 19:00:00+00:00
1783972800000,62257.9,62299.0,62020.0,62179.3,3539.601,220050511.449,2026-07-13 20:00:00+00:00
1783976400000,62179.3,62192.1,61868.0,62034.1,3364.102,208591787.2377,2026-07-13 21:00:00+00:00
1783980000000,62034.0,62199.0,61883.1,61897.9,3177.324,197203723.1652,2026-07-13 22:00:00+00:00
1783983600000,61897.9,62333.4,61854.5,62307.0,5107.98,317374167.4873,2026-07-13 23:00:00+00:00
1783987200000,62307.0,62639.3,62240.9,62520.7,5906.236,368615976.2534,2026-07-14 00:00:00+00:00
1783990800000,62520.7,62614.2,62427.0,62505.2,3019.814,188745944.5268,2026-07-14 01:00:00+00:00
1783994400000,62505.2,62610.0,62286.9,62516.8,3512.258,219376182.2714,2026-07-14 02:00:00+00:00
1783998000000,62516.8,62576.2,62279.0,62538.2,3341.315,208572397.4203,2026-07-14 03:00:00+00:00
1784001600000,62538.3,62744.4,62511.0,62713.6,3346.574,209652575.5155,2026-07-14 04:00:00+00:00
1784005200000,62713.6,62848.0,62669.4,62699.9,3751.791,235465697.4402,2026-07-14 05:00:00+00:00
1784008800000,62699.9,62752.0,62537.0,62600.1,3174.255,198858941.8075,2026-07-14 06:00:00+00:00
1784012400000,62600.1,62633.0,62489.7,62529.7,2683.89,167918604.0826,2026-07-14 07:00:00+00:00
1784016000000,62529.7,62780.0,62458.3,62680.1,3017.401,189000321.7945,2026-07-14 08:00:00+00:00
1784019600000,62680.1,62721.2,62502.3,62604.2,2286.405,143146597.8978,2026-07-14 09:00:00+00:00
1784023200000,62604.2,62880.0,62577.5,62767.5,3460.434,217136531.3869,2026-07-14 10:00:00+00:00
1784026800000,62767.6,62896.0,62680.7,62810.3,3168.243,198987453.2871,2026-07-14 11:00:00+00:00
1784030400000,62810.3,63956.0,62756.5,63935.2,42323.953,2685557078.1301,2026-07-14 12:00:00+00:00
1784034000000,63935.2,64162.2,63666.0,63802.8,18520.356,1182805066.8878,2026-07-14 13:00:00+00:00
1784037600000,63802.8,64310.0,63550.0,64277.3,13029.805,832908899.9365,2026-07-14 14:00:00+00:00
1784041200000,64277.2,64950.0,64163.6,64727.5,25734.552,1661929574.5585,2026-07-14 15:00:00+00:00
1784044800000,64727.4,64879.0,64589.3,64703.9,8467.888,548441031.1445,2026-07-14 16:00:00+00:00
1784048400000,64704.0,64704.0,64200.0,64597.5,14211.303,915873322.9879,2026-07-14 17:00:00+00:00
1784052000000,64597.5,64631.6,64448.7,64544.0,2451.479,158209534.9685,2026-07-14 18:00:00+00:00
1784055600000,64544.0,64687.9,64456.3,64543.0,2680.106,173037261.9965,2026-07-14 19:00:00+00:00
1784059200000,64543.1,64576.4,64390.4,64538.6,2370.521,152802397.9586,2026-07-14 20:00:00+00:00
1784062800000,64538.6,64877.7,64496.2,64650.0,3377.629,218457132.2977,2026-07-14 21:00:00+00:00
1784066400000,64649.9,65130.0,64485.4,64837.1,12393.571,804101693.875,2026-07-14 22:00:00+00:00
1784070000000,64837.2,65040.3,64750.0,65014.7,4645.404,301641741.3354,2026-07-14 23:00:00+00:00
1784073600000,65014.6,65043.3,64743.6,64798.1,4489.662,291260853.7614,2026-07-15 00:00:00+00:00
1784077200000,64798.1,64830.2,64618.8,64643.7,3480.114,225192393.8365,2026-07-15 01:00:00+00:00
1784080800000,64643.7,64732.6,64456.7,64473.0,3174.884,204927664.3184,2026-07-15 02:00:00+00:00
1784084400000,64473.1,64820.1,64473.0,64760.8,2866.928,185373608.7525,2026-07-15 03:00:00+00:00
1784088000000,64760.9,64868.0,64686.6,64723.5,2176.426,140985278.8657,2026-07-15 04:00:00+00:00
1784091600000,64723.6,64941.7,64580.0,64920.5,2716.995,175883868.9139,2026-07-15 05:00:00+00:00
1784095200000,64920.5,65260.0,64784.7,64784.7,8661.145,563221809.3933,2026-07-15 06:00:00+00:00
1784098800000,64784.8,64850.0,64450.9,64528.0,6827.282,441139628.6091,2026-07-15 07:00:00+00:00
